# OSM tag descriptions © OpenStreetMap Wiki contributors
# Licensed under Creative Commons Attribution-ShareAlike 2.0 (CC-BY-SA 2.0)
# https://creativecommons.org/licenses/by-sa/2.0/
# Source: https://wiki.openstreetmap.org — generated by cmd/build-dictionary
key,value,description
leisure,swimming_pool,A swimming pool (water area only)
leisure,pitch,"An area designed for practising sport, normally designated with appropriate markings."
leisure,garden,A place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.
leisure,park,"A park, usually in an urban (municipal) setting, created for recreation and relaxation."
leisure,playground,A playground: an area designed for children to play.
leisure,picnic_table,A table with benches for food and rest
leisure,sports_centre,A sports centre is a distinct facility where sports take place within an enclosed area.
leisure,track,"A track for running, cycling and other non-motorised racing such as horses, greyhounds."
leisure,nature_reserve,"A protected area of importance for wildlife, flora, fauna or features of geological or other special interest."
leisure,fitness_centre,"Fitness centre, health club or gym with exercise machines, fitness classes or both, for exercise."
leisure,fitness_station,An outdoor facility where people can practise typical fitness exercises
leisure,outdoor_seating,"A seating area, usually for the consumption of food and drink from neighbouring cafes and restaurants, often belonging to one or more of them, but not necessarily adjacent."
leisure,slipway,A slipway: a ramp for launching a boat into water
leisure,bleachers,"Raised, tiered rows of benches found at spectator events."
leisure,stadium,A major sports facility with substantial tiered seating.
leisure,firepit,"A fire ring or fire pit, often at a campsite or picnic site"
leisure,sports_hall,"A sufficiently large single room that is suitable for practising sports indoors and does not have a ""centre"" character."
leisure,golf_course,A golf course
leisure,marina,A facility for mooring leisure yachts and motor boats.
leisure,common,Identify land over which the public has general rights of use for certain leisure activities.
leisure,dog_park,"A designated area, with or without a fenced boundary, where dog-owners are permitted to exercise their pets unrestrained."
leisure,resort,"A place used for relaxation or recreation, attracting visitors for vacations, tourism and/or going swimming in a pool and/or a nearby body of water."
leisure,horse_riding,"A facility where people practise horse riding, usually in their spare time, e.g. a riding centre. For a riding arena use tag:leisure=pitch + tag:sport=equestrian."
leisure,fishing,A public or private place for fishing.
leisure,sauna,A room or object designed as a place to heat a wet or dry body.
leisure,beach_resort,"A managed beach, including within the boundary any associated facilities. Entry may also require payment of a fee."
leisure,water_park,"An amusement park with features like water slides, recreational pools (e.g. wave pools) or lazy rivers."
leisure,dance,A dance venue or dance hall.
leisure,miniature_golf,A place or area where you can play miniature golf.
leisure,ice_rink,An artificially created place where you can skate and play bandy or ice hockey.
leisure,amusement_arcade,A venue with pay-to-play games.
leisure,bird_hide,"A place that is used to observe wildlife, especially birds."
leisure,bandstand,A bandstand is an open structure where musical bands can perform concerts
leisure,adult_gaming_centre,"A venue with gambling machines, usually with a minimum age requirement."
leisure,schoolyard,Outdoor area for spending school breaks.
leisure,recreation_ground,The open-air recreational space.
leisure,swimming_area,"An area for swimming within a larger body of water (such as a river, lake or the sea) that is marked by a rope, buoys or similar"
leisure,bowling_alley,A facility that is equipped to play the game of bowling.
leisure,bathing_place,An outdoor location without significant facilities that is commonly used for bathing; a wild swimming spot.
leisure,hot_tub,"A very small pool with hot water and often air jets, intended for few people and no movement."
leisure,escape_game,"A physical adventure game in which players solve a series of puzzles using clues, hints and strategy to complete the objectives at hand."
leisure,indoor_play,"A indoor play area, offering play facilities and event hosting for children."
leisure,disc_golf_course,A place to play disc golf.
leisure,yes,"Do not use, use key:leisure with appropriate value instead."
leisure,hackerspace,"A place where people with common interests (science, technology, ...) meet."
leisure,climbing,A place used for climbing.
leisure,summer_camp,A place for supervised recreation camps for children or teenagers.
leisure,tanning_salon,Place where customers can use UV lamps to tan their skin.
leisure,trampoline_park,A leisure facility consisting of many interlinked trampolines.
leisure,barefoot,Specifies that a path is specifically designed for people to walk barefoot.
leisure,sport,
leisure,wildlife_hide,A place to observe wildlife.
leisure,hammock,"A hammock, permanently located in the same place."
leisure,shooting_ground,A place where shooting enthusiasts can practice a range of disciplines.
leisure,social_club,A member's club which typically provides facilities similar to pub.
leisure,paddling_pool,"A shallow pool, typically less than 30cm (1 ft.) deep, for children to play in."
leisure,spa,
leisure,practice_pitch,"A small place set up for practicing a given sport, but not appropriate for a full game."
leisure,parklet,Sidewalk extension on parking lanes that provides more space and amenities for people using the street.
leisure,park_connector,
natural,tree,A single tree.
natural,water,"Any inland body of water, from natural such as a lake or pond to artificial like a moat or canal."
natural,wood,Tree-covered area (a 'forest' or 'wood')
natural,scrub,"Uncultivated land covered with shrubs, bushes or stunted trees."
natural,wetland,A natural area subject to inundation or with waterlogged ground
natural,grassland,An area where the vegetation is dominated by grasses and other herbaceous (non-woody) plants.
